File Name,Total Duration (s),Dead Air Duration (s),Dead Air Percentage,Number of Segments,Analysis Time (s)
call_recording_with_silence.mp3,57.81,37.87,65.51,6,0.159
rm_customer_interaction_1.mp3,61.75,42.47,68.77,3,0.022
rm_customer_interaction_2.mp3,72.23,50.99,70.59,2,0.028
rm_customer_interaction_3.mp3,41.73,32.97,79.02,4,0.016
rm_customer_interaction_4.mp3,58.68,47.3,80.61,4,0.03
rm_customer_interaction_5.mp3,76.35,64.88,84.97,6,0.06
rm_customer_interaction_6.mp3,54.17,50.29,92.84,3,0.021
rm_customer_interaction_7.mp3,39.15,25.24,64.46,2,0.01
rm_customer_interaction_8.mp3,57.16,47.9,83.8,4,0.017
rm_customer_interaction_9.mp3,53.57,33.88,63.24,3,0.017
rm_customer_interaction_10.mp3,65.38,54.31,83.07,5,0.02
